Frozen,Delicassen
214,1338
1762,1776
2405,7844
6404,1788
3915,5185
666,1451
480,545
1669,2566
425,750
1159,2098
4400,1744
1420,497
287,2931
3095,602
294,2168
397,412
134,1080
839,4478
2205,3181
669,501
1066,2124
3383,569
9408,4334
5154,16523
2915,5778
201,57
3151,833
485,518
1158,5206
1200,823
1148,2963
2088,985
266,405
6130,1083
425,395
833,436
1729,4626
1920,714
33,433
10002,2916
9510,5864
2033,2802
188,46
787,72
541,65
1740,4985
1668,1452
7782,6465
584,1476
1798,1163
3860,2162
239,301
532,1278
744,224
2436,1333
1057,1130
2616,1340
38,1282
596,436
129,1603
96,225
3254,2017
4154,964
2896,1295
3724,1145
36,1423
175,27
1256,834
5870,3095
779,144
10643,1365
5373,14472
8872,181
8132,648
1285,1780
4407,975
7530,894
869,1009
2096,167
868,1653
430,529
283,156
737,2342
2320,772
1178,120
1026,2944
987,903
6312,14351
9735,46
3443,3178
3347,360
8693,1117
3232,5130
35009,2698
206,244
440,709
145,217
774,63
895,132
5639,323
3252,3029
1593,1838
2561,1386
18028,2498
1336,548
910,1378
133,1831
2471,1438
247,1236
673,3
2276,1647
805,1519
8853,2708
3220,1561
2555,1266
2715,610
1517,222
1647,1160
5343,933
3896,635
2417,1136
2395,255
1991,860
2194,143
4787,1621
16538,918
8195,483
880,2749
142,3
1718,1819
6316,911
346,310
576,328
436,396
720,537
1170,326
4575,1542
661,36
155,3271
825,929
2279,2616
321,1450
2995,3
8425,318
118,201
42,4430
926,520
1286,526
4052,434
800,1440
853,1067
531,1774
3001,184
779,1627
75,8
233,2153
317,3182
3378,418
930,1682
398,303
824,2157
1092,2233
2665,610
2367,446
2540,238
4425,2379
993,3637
405,693
1393,429
2399,750
1116,323
651,6250
333,707
937,716
2515,1442
52,1697
7368,230
1752,2631
1152,395
4477,2165
402,2794
16745,8550
443,156
36534,47943
74,11
2181,247
3470,727
6269,3
2758,404
275,1856
7332,64
890,84
547,409
959,666
806,1142
7888,1755
18711,2876
1127,1468
3527,697
520,347
3941,731
3549,1681
5065,6854
469,18
1383,1328
955,710
878,285
2946,120
1859,806
864,797
1801,2100
4736,2870
1291,1775
1329,1215
913,791
1374,2388
179,674
2532,1158
1285,6372
2306,130
1765,749
91,239
7496,375
5612,1360
784,659
660,786
1759,1553
2286,689
950,203
6845,980
8321,2137
1439,490
638,834
937,7
4260,2563
1218,295
2312,225
4634,1215
1112,216
5243,2253
11422,2564
2216,1047
3752,578
561,2398
1183,1970
230,2784
1777,610
2077,659
559,572
6340,291
1730,710
6746,5121
7683,1693
432,1391
4686,3265
3242,615
453,373
5004,987
6422,3321
3012,818
327,548
6818,287
982,655
4324,411
61,1265
10155,3636
2221,2563
3975,3628
1069,698
2516,204
5500,56
1120,1550
529,1040
4802,1824
744,1153
862,379
4479,2503
16919,139
5845,1409
1293,1721
977,1104
1093,2079
5970,1404
10303,1384
8692,2406
1042,18
1619,128
8366,1027
848,258
1388,22
502,1522
2507,686
3838,1060
902,741
909,1854
417,254
3045,898
1455,531
934,1037
264,259
824,2005
1809,172
364,555
492,59
617,2410
799,211
1840,1543
1149,925
416,656
1465,806
12569,1117
3046,117
1274,142
4447,297
1483,1233
662,3508
2679,1059
978,1637
2121,51
1128,1625
514,834
2714,1113
3703,229
915,573
2369,1092
60869,5609
3498,834
414,522
7849,1534
5127,739
3570,1043
1234,1102
2208,2602
131,1215
11559,3486
1365,2139
650,778
8170,868
15601,550
9584,1942
388,1371
767,2158
349,1328
1456,37
2234,379
402,303
2693,1115
2809,1022
1341,665
2005,445
1796,995
1741,3137
830,195
228,1111
6386,2341
245,127
3157,548
137,110
6114,4100
340,776
2601,503
1206,405
560,712
191,314
1103,468
1619,3105
1173,447
1457,342
2046,558
1089,296
1364,2235
8164,790
876,4829
1504,3113
1492,686
597,70
5641,1426
1034,1242
282,1114
130,179
3881,270
9927,532
2540,2893
4006,361
3635,5120
2583,1068
1945,967
1960,961
1677,406
3019,684
5502,1000
907,1827
659,654
8620,819
1398,452
2921,290
2644,2213
6838,743
5390,247
1601,375
3576,1014
13223,1902
220,340
127,288
4324,715
2069,378
9806,960
2854,553
1646,344
2349,5137
1389,1892
1535,4365
98,62
17866,2435
5679,290
1691,1874
848,993
364,1063
133,776
633,1521
25,1393
1031,1784
830,1218
1059,668
874,249
15348,1886
3141,1894
15082,1163
2198,317
47,2501
575,2080
13486,1498
269,395
1541,1449
688,838
13135,2204
4510,2346
437,1867
1038,2125
65,52
